"Repository","Visibility","Archived","Fork","Workflow","Path","State","TotalChecked","Success","Failure","Cancelled","Classification","LastRun"
"saskw2010/Sky365-knowledge-hub","PUBLIC","False","False","Deploy Sky365 Knowledge Hub",".github/workflows/deploy-pages.yml","active","10","7","0","3","ALWAYS_SUCCESS","https://github.com/saskw2010/Sky365-knowledge-hub/actions/runs/29740747541"
"saskw2010/delta-business-hub","PUBLIC","False","False","Deploy GitHub Pages",".github/workflows/deploy-pages.yml","active","10","9","0","1","ALWAYS_SUCCESS","https://github.com/saskw2010/delta-business-hub/actions/runs/29671268387"
"saskw2010/delta-business-hub","PUBLIC","False","False","Quality checks",".github/workflows/quality.yml","active","10","10","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/delta-business-hub/actions/runs/29671268381"
"saskw2010/Sky365Offers","PRIVATE","False","False","Copilot code review","dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/Sky365Offers/actions/runs/26256388932"
"saskw2010/Sky365-Platform-Architecture-Hub","PUBLIC","False","False","Deploy static content to Pages",".github/workflows/static.yml","active","10","10","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/Sky365-Platform-Architecture-Hub/actions/runs/29607401171"
"saskw2010/all-agentic-architectures","PUBLIC","False","True","Deploy Sky365 Portal and Subapplications to GitHub Pages",".github/workflows/academy-pages.yml","active","10","10","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/all-agentic-architectures/actions/runs/29417402125"
"saskw2010/all-agentic-architectures","PUBLIC","False","True","CI",".github/workflows/ci.yml","active","10","9","0","1","ALWAYS_SUCCESS","https://github.com/saskw2010/all-agentic-architectures/actions/runs/29510664506"
"saskw2010/all-agentic-architectures","PUBLIC","False","True","Create Private Family Repositories",".github/workflows/create-private-family-repositories.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/all-agentic-architectures","PUBLIC","False","True","Deploy docs",".github/workflows/docs.yml","active","2","1","0","1","ALWAYS_SUCCESS","https://github.com/saskw2010/all-agentic-architectures/actions/runs/29296457193"
"saskw2010/all-agentic-architectures","PUBLIC","False","True","Re-execute notebooks (manual)",".github/workflows/notebook-execute.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/all-agentic-architectures","PUBLIC","False","True","Release",".github/workflows/release.yml","active","10","0","10","0","ALWAYS_FAILING","https://github.com/saskw2010/all-agentic-architectures/actions/runs/29510662244"
"saskw2010/all-agentic-architectures","PUBLIC","False","True","pages-build-deployment","dynamic/pages/pages-build-deployment","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/all-agentic-architectures/actions/runs/29243977837"
"saskw2010/wytsky-net5wasm-family","PRIVATE","False","False","Import Net5Wasm Family",".github/workflows/import-family.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/defenix-website","PUBLIC","False","True","pages-build-deployment","dynamic/pages/pages-build-deployment","active","10","8","0","2","ALWAYS_SUCCESS","https://github.com/saskw2010/defenix-website/actions/runs/29493864931"
"saskw2010/wytsky-blazorshop-family","PRIVATE","False","False","Import BlazorShop Family",".github/workflows/import-family.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/saskw2010","PUBLIC","False","False","Deploy Profile Landing Page",".github/workflows/deploy-pages.yml","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/saskw2010/actions/runs/29468410515"
"saskw2010/saskw2010","PUBLIC","False","False","Deploy static content to Pages",".github/workflows/static.yml","active","2","2","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/saskw2010/actions/runs/29468410516"
"saskw2010/Elnagar-Family-Strategy-Hub","PUBLIC","False","False","Codespaces Prebuilds","dynamic/codespaces/create_codespaces_prebuilds","active","1","0","0","1","OTHER","https://github.com/saskw2010/Elnagar-Family-Strategy-Hub/actions/runs/29454089753"
"saskw2010/Elnagar-Family-Strategy-Hub","PUBLIC","False","False","pages-build-deployment","dynamic/pages/pages-build-deployment","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/Elnagar-Family-Strategy-Hub/actions/runs/29454594959"
"saskw2010/saskw2010.github.io","PUBLIC","False","False","pages-build-deployment","dynamic/pages/pages-build-deployment","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/saskw2010.github.io/actions/runs/29424287597"
"saskw2010/Dr-Ahmed-Radiology-X-Ray","PUBLIC","False","False","Deploy static content to Pages",".github/workflows/static.yml","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/Dr-Ahmed-Radiology-X-Ray/actions/runs/29264618529"
"saskw2010/taybatmosso","PUBLIC","False","False","Deploy to GitHub Pages",".github/workflows/deploy.yml","active","2","1","1","0","FLAKY","https://github.com/saskw2010/taybatmosso/actions/runs/28863685322"
"saskw2010/taybatmosso","PUBLIC","False","False","pages-build-deployment","dynamic/pages/pages-build-deployment","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/taybatmosso/actions/runs/28864137155"
"saskw2010/RestPOS","PRIVATE","False","False","Copilot code review","dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer","active","2","2","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/RestPOS/actions/runs/23877075076"
"saskw2010/RestPOS","PRIVATE","False","False","Copilot coding agent","dynamic/copilot-swe-agent/copilot","active","1","1","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/RestPOS/actions/runs/23850374879"
"saskw2010/skysite-agentic","PUBLIC","False","False","Build and publish Docker image",".github/workflows/docker-build.yml","active","1","0","1","0","FAILING_INSUFFICIENT_HISTORY","https://github.com/saskw2010/skysite-agentic/actions/runs/17172969909"
"saskw2010/minimax-space-clone","PRIVATE","False","False",".github/workflows/azure-webapps-node.yml",".github/workflows/azure-webapps-node.yml","active","1","0","1","0","FAILING_INSUFFICIENT_HISTORY","https://github.com/saskw2010/minimax-space-clone/actions/runs/16607700907"
"saskw2010/minimax-space-clone","PRIVATE","False","False","Deno",".github/workflows/deno.yml","active","1","0","1","0","FAILING_INSUFFICIENT_HISTORY","https://github.com/saskw2010/minimax-space-clone/actions/runs/16607700898"
"saskw2010/testropo","PUBLIC","False","False","Deploy static content to Pages",".github/workflows/static.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/testropo","PUBLIC","False","False","Copilot","dynamic/copilot-swe-agent/copilot","active","4","4","0","0","ALWAYS_SUCCESS","https://github.com/saskw2010/testropo/actions/runs/16455116622"
"saskw2010/bolt.new-allllm","PUBLIC","False","False","CI/CD",".github/workflows/ci.yaml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/bolt.new-allllm","PUBLIC","False","False","Build and Push Container",".github/workflows/github-build-push.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/bolt.new-allllm","PUBLIC","False","False","Semantic Pull Request",".github/workflows/semantic-pr.yaml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/HelpDesk2021-09-30","PUBLIC","False","False","CodeQL",".github/workflows/codeql-analysis.yml","disabled_inactivity","0","0","0","0","NO_HISTORY",""
"saskw2010/HelpDesk2021-09-30","PUBLIC","False","False",".NET",".github/workflows/dotnet.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CPDEventPlannernet6-2022-11-14","PRIVATE","False","False",".NET Core Desktop",".github/workflows/dotnet-desktop.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","CodeQL",".github/workflows/codeql-analysis.yml","disabled_inactivity","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Build",".github/workflows/dotnet-build.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Build & Deploy",".github/workflows/dotnet-deploy.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Live Tests",".github/workflows/live-tests.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CleanArchitecturenet6","PUBLIC","False","False","Package",".github/workflows/package.yml","active","0","0","0","0","NO_HISTORY",""
"saskw2010/CarChecker","PRIVATE","False","False","Build Blazor App",".github/workflows/build-CI.yml","active","0","0","0","0","NO_HISTORY",""
